Date,WFC,JPM,BAC,C,AIG,GS,USB,AXP,MS,BLK,MET,PNC,BK,SCHW,COF,PRU,TRV,CME,CB,MMC,BBT,ICE,STT,AFL,AON,ALL,BEN,STI,MCO,PGR,AMP,AMTD,HIG,TROW,NTRS,MTB,FITB,IVZ,L,EFX,PFG,RF,MKL,FNF,LNC,CBG,KEY,NDAQ,CINF,CNA,HBAN,SEIC,ETFC,AMG,RJF,UNM,NYCB,Y,SBNY,CMA,AJG,TMK,WRB,AFG,SIVB,EWBC,ROL,ZION,AIZ,PACW,AFSI,ORI,PBCT,CACC,BRO,ERIE,OZRK,WTM,SNV,ISBC,MKTX,LM,CBSH,BOKF,EEFT,DNB,WAL,EV,CFR,MORN,THG,UMPQ,CNO,FHN,WBS,PB,PVTB,SEB,FCNCA,MTG,^VIX,^GSPC,IYR,3MTCM,Yield,Credit
03/01/2007,0.00504911,0.002290956,-0.001124399,-0.008111807,0.006814608,0.006848808,-0.000552807,-0.002647217,0.002330607,0.020976612,0.019134567,0.014880635,0.00809517,0.021484225,0.005581903,0.004531989,-0.002610942,0.025661064,-0.003638797,0.019380468,0.001592161,0.06996858,0.009885697,0.005420069,0.001413822,0.002607545,0.028720469,0.002955964,0.018080601,-0.000412972,0.013124515,0.029234704,0.006090075,0.044243134,0.010164078,0.004247656,0.001220816,-0.051613611,-0.005804157,-0.014638653,0.010506788,0.01644159,-0.003756302,-0.007988268,0.001504867,0.013463209,0,0.007119729,0.011192889,-0.005970123,0.011304343,-0.004037703,0.021620122,0.007108698,0.013436222,0.000481177,0.006192037,0.021494555,0,0.008484694,0.002366112,0.012959856,0.001447912,0.016022515,0.007905244,0.003944871,0.013923314,0.005684938,0.010622131,0.001911298,-0.00468954,0.009831222,0.001343743,-0.009041743,0.000708729,-0.001042606,-0.011866991,0.000983254,0.004853645,-0.016020882,-0.006654356,0.027498427,-0.001654022,0.007249065,0.013050177,-0.006179246,-0.012444091,0.018608063,0.01775614,-0.002222186,0.006332394,0.005759803,0.008472536,-0.001197264,0.000820619,0.016096969,0.014072995,-0.002836882,0.025145091,0.014603406,0.023531069,0.441440771,0.597895,0.5095541,0.051454139,0.100323625
04/01/2007,0.001677339,0.002493229,0.006355111,-0.003444884,-0.00891002,-0.009360106,0.000829132,-0.007316323,0.003546761,0.010708303,0.005967158,-0.0025315,-0.002017679,-0.007620038,-0.001165692,-0.004066211,-0.008438885,0.007239526,-0.013176678,0.011766665,-0.007757285,0.044699745,0.00731425,-0.011088227,0.011239254,0.001224754,0.004400198,-0.008894221,-0.007279017,0.000825833,0.006498223,-0.004813542,-0.006733283,0.008705222,-0.008846741,-0.001060204,0.00024406,-0.009010955,-0.011955697,0.00870983,-0.001856083,-0.004745609,0.003339611,0.00084348,-0.008153463,-0.009255238,-0.0073898,0.027982719,-0.004812966,-0.003248807,-0.000833005,0.004373472,0.016450531,-0.010920711,-0.003913887,0.005276974,0.004311608,-0.018336671,0.006435029,0.000506764,-0.00405956,0.000620447,-0.013986225,-0.02160756,0.00720953,0.007564143,0.002672775,0.004452683,0.009801363,-0.001337525,0.025523685,-0.007257283,-0.004036659,-0.031367918,-0.003904139,-0.005229219,0.000611994,-0.001207647,0.004187465,0.017291491,-0.005952387,-0.000716731,0.000206808,-0.025234505,0.012553816,0.003397231,0.012731625,-0.013471297,0.000351939,0.008197655,-0.008999891,0.002699053,-0.002982073,-0.005286005,0,0.001139941,-0.000947892,0.000880322,-0.010205902,0.003774799,0.03029449,0.45771316,0.6204483,0.4904459,0.051454139,0.114886731
05/01/2007,-0.005602276,-0.00833507,-0.008044139,-0.005280836,-0.004625403,0.001005259,-0.011949582,-0.013271883,-0.012901853,-0.000255101,-0.011802979,-0.011539118,-0.004808272,-0.021129364,0,-0.00244769,-0.01307949,0.004677688,-0.007245808,-0.009210745,-0.013373454,0.02891436,-0.003065451,0.001310839,-0.005884796,-0.002757773,-0.018702014,-0.013189626,-0.014864243,-0.020009035,-0.001440439,-0.018259751,-0.017088899,-0.001952076,-0.013251785,-0.017616519,-0.019958798,-0.018708384,-0.009123527,-0.015480922,-0.01086783,-0.017326871,-0.002921525,-0.005922065,-0.012049282,-0.007224655,-0.011456099,0.037240797,-0.007042284,-0.004264431,-0.009208921,-0.006398434,-0.008624461,-0.008053001,-0.012165209,-0.013487648,-0.001845606,-0.016168377,-0.03292881,-0.011209346,-0.013308488,-0.01672842,-0.015375848,-0.019225926,-0.017692074,-0.012921629,-0.035773958,-0.003006426,-0.006940143,-0.025366784,-0.026699263,-0.012069126,-0.011072555,-0.045702091,-0.000711503,-0.006135561,-0.027602886,-0.005712795,-0.016202566,-0.003816855,-0.031845019,-0.004516951,-0.008726397,0.001850118,-0.055344724,0.001573434,-0.041984768,-0.004228291,-0.013461024,-0.010647823,-0.013861776,-0.033227986,-0.004489904,-0.018723907,-0.011343822,-0.01723691,-0.004038535,0.005350228,-0.024110637,-0.006615275,0.022826546,0.469594275,0.6035441,0.5159236,0.044742729,0.1197411
08/01/2007,-0.002812915,0.00334238,0.00393663,0.005099243,0.004905062,0.023239503,-0.003360357,0.009426047,0.006041545,0.018269095,0,0.011272322,0.004050599,0.012422498,0.003493083,0.006166023,-0.007469149,0.010581176,0.0005072,-0.009618528,-0.003953988,0.009031047,0.010471314,0.000654873,-0.005071863,0.001379787,0.027966991,-0.005203624,-0.000290787,0.006714261,0.012355764,0.016448699,0.005005443,0.018072789,0.009129428,0.007034399,-0.006491985,0.009180343,0,0.003516686,0.001876346,-0.006474191,0.003129893,0,0.001157197,0.003618912,0.008006405,0.028003068,0.001765243,-0.00226502,-0.002104896,0.005894738,0.018026295,0.013100861,0.005607791,0.001453792,0,-0.001812769,0.005289269,-0.001538331,-0.018374611,-0.007755165,0.013613666,-0.000285488,-0.00366257,0.000282749,0.000920802,0.00168471,0.000892442,-0.000784795,-0.007083988,-0.009586136,0.00204302,0.045389702,-0.003565085,-0.009540661,0.004705883,-0.013986243,0.00326156,-0.001913818,0.004611921,0.016935689,-0.002088855,-0.004817477,-0.002084058,0.001208581,0.03910544,0.007237573,-0.000535137,0.000891671,-0.008998698,0.014866323,0.001498911,-0.007885673,-0.011054412,-0.007562516,-0.006208201,0.018960843,0.002735448,-0.006341127,0.031703536,0.433706457,0.5632682,0.522293,0.062639821,0.103559871
09/01/2007,0.002532009,-0.004179737,0.000935002,-0.00875756,-0.003360826,0.001716517,-0.000561183,-0.006386542,-0.002338248,0.006306769,-0.011774732,0.00226588,-0.00430432,0.015820685,-0.010385702,-0.003951249,-0.002502174,0.00576013,-0.010364552,0.002895256,-0.00186608,-0.008308784,-0.003913963,0.003702445,-0.005665781,-0.005222689,0.017507303,0.000363911,-0.008177693,-0.01729636,0.006032673,0.014397464,-0.013110615,0.004042936,0.008227791,-0.002477114,0.002002046,0.010389681,0.020108563,-0.003768404,-0.001023037,0.002972593,0.006644568,-0.002123185,0.007068237,0.022325677,0.005037882,-0.006188291,-0.006635679,0.007780236,-0.000843189,0.003854821,-0.008114544,0.009643613,0.014045655,-0.00729042,0.006750635,-0.000698134,-0.010273495,-0.002054781,0.000349848,0.001905029,-0.012124937,-0.002859668,0.00323237,-0.001414213,-0.006932661,0.00551558,-0.006084477,-0.000785411,0.007083988,-0.00175283,-0.007054313,-0.004384567,-0.0035778,0.003013368,-0.017045839,0.000967821,0.003899897,-0.002557468,-0.010794309,0.013864039,-0.002931931,-0.003721631,-0.010837337,0.014509504,-0.021568922,0.014912327,-0.005187419,0.007547219,-0.00189375,-0.013126227,-0.00099906,0.005920108,-0.003150963,-0.006150246,0.007635451,-0.01839635,0.016501646,-0.007502649,0.029730872,0.474442461,0.6035341,0.5286624,0.062639821,0.098705502
10/01/2007,-0.003095557,0.007303074,0.001494255,-0.008095766,0.001261602,0.019554704,-0.000561498,-0.000674665,0.008371289,0.026111149,0.015280276,0.005483864,0.005314433,0.011077597,-0.012210493,0.012267316,-0.006573899,0.028186916,-0.000170786,0.001604884,0.005174082,0.081615093,0.008388849,0.011885601,-0.000568354,-0.002621619,0.010375996,0.005201735,0.010501873,-0.002556422,0.004060368,0.001785117,-0.001100337,0.005717355,0.004741308,0.014119439,-0.002503088,-0.011695985,0.005809777,0.002262707,0.006461518,0.00296368,0.00824407,-0.000850825,0.004430546,0.008208753,-0.005569659,0.041968156,-0.000888126,0.000249895,-0.006346485,0.010814561,0.011511519,0.004599849,0.010004883,-0.007835485,0.003053354,0.022619357,0.006640098,-0.00137224,0.001398065,0.009783648,-0.014384408,-0.00374047,-0.001507159,-0.001983364,-0.004649113,0.00584211,-0.003956786,0.01093975,0.012857952,0.000876836,0.00841389,0.004384567,-0.002512135,-0.008888953,-0.000955565,-0.00128476,0.000972602,0.001918714,-0.001551588,0.020539814,0.003140905,-0.005795999,-0.011311609,-0.008728499,0.002354357,0.006785663,-0.003233259,0.006612305,-0.00782325,0.011065105,0.004487718,-0.000246201,-0.00063137,-0.003236724,-0.001665286,0.001691571,0.000781386,-0.013226003,0.02846273,0.461054759,0.6347543,0.4840764,0.073825503,0.093851133
11/01/2007,0.001689694,0.004356459,-0.005990351,0.000738734,-0.001261602,0.017953313,-0.00281223,0.003032356,0.009759794,0.018743847,0.02631302,0.0001334,0.009545396,0.015404142,0.003823613,0.009615418,-0.006812636,0.00594571,0.012224216,0.000961653,0.008176607,0.009492718,0.017985094,0.02963183,0.000568354,-0.010087795,0.016197744,-0.002053249,0.012544355,-0.01029167,0.018329969,0.017094508,-0.000660845,0.0194465,0.003581845,-0.010323749,0.000751581,0.021552565,0.013664368,0.00075309,0.018472372,0.003223278,0.013860776,-0.001277407,0.008802635,0.019945711,0.001063272,-0.018884662,0.002218733,0.007966296,0.000424339,0.01690085,0.021803853,0.008579788,0.015928982,0.006859393,0.004866126,0.000027372,0.008894837,-0.006198304,0.005920302,0.015426924,0.01408677,0.013741972,0.013695892,0.011000058,0.009276712,-0.00727797,0.018922316,0.016761784,0.001160898,0.005244784,0.00946592,-0.000312549,0.007874066,0.000892449,0.006036545,-0.002751126,0.01095727,0.007638424,0.00464756,0.010500847,0.002505824,0.008402575,-0.006777197,0.016082373,0.029256222,0.014304784,0.007171017,0.033908874,0.001696657,0.003432909,0.004962764,-0.000246047,0.002103019,0.009095014,0.00546126,0.002812942,0.002048175,-0.005535661,0.022262928,0.473074718,0.6455331,0.5477707,0.062639821,0.100323625
12/01/2007,-0.000844527,-0.006645905,0.002250597,0.003869146,-0.003090776,0.009909207,0.001125841,-0.007428731,0.005931106,0.02631419,0.001945821,-0.002002561,0.008216202,0.003445688,0.013463359,-0.00113984,-0.002738118,0.030656829,-0.00779267,0.004794696,-0.008411258,-0.013344877,0.006486192,0.009134337,0.012422501,0.007614029,-0.001666453,0.00181195,-0.00603621,0.00858371,0.002936324,0.013929375,0.005493306,0.005575675,0.000649903,-0.009183866,0.00250121,0.00552836,0.006171333,0.005006297,0.00448247,-0.006186958,0.005047966,0.011016774,-0.00423984,-0.022576907,-0.001329216,-0.009577742,0.005305071,0,-0.002548855,0.00227533,0.037048775,0.012091134,0.001894587,-0.000977046,0.000606619,-0.00740035,0.010115897,0.002587273,0.001041115,0.002008222,-0.006868772,0.002272153,0.010781248,0.004198672,-0.001848177,-0.00311828,0.006345897,0.00305227,-0.005817351,0.009976209,-0.000224274,0.000312549,0.003913904,-0.001785695,0.000316706,0.006583008,0.008298768,0.002533174,0.001544399,-0.00183942,-0.005227366,0.010174979,-0.009710596,0.004480582,-0.016986158,0,-0.001251224,-0.005750218,-0.001696657,0.008870762,-0.000495149,-0.001477189,-0.002945493,-0.004977394,-0.010234542,0.00056164,0.007135783,0.013298918,0.013808651,0.494524031,0.6339297,0.5159236,0.062639821,0.113268608
16/01/2007,0.020073168,0.008300477,0.001123346,0.007146203,0.001406075,-0.001871035,0.005610128,0.002031535,-0.003021683,-0.006047187,0.007745724,-0.000935892,0.003465348,-0.008388921,-0.010834834,0.0105509,-0.000195908,-0.007431783,-0.000850689,-0.00063796,0.004681664,-0.041988573,-0.001828851,0.003918804,-0.005345324,-0.002324715,0.004160816,0.013664352,-0.000144188,-0.000855138,0.001551057,0.036779228,0.018669828,-0.010349933,0.012268144,-0.003747326,0.007962204,0.020151824,-0.000236613,0.004981331,0.000827877,-0.004326692,0.018735801,0,0.002424914,0.049960439,-0.00159749,0.012750087,0.001982168,-0.005719371,-0.009831202,0.012582852,0.01704025,-0.003952756,-0.005377199,0.000488642,-0.004863168,0.008901049,-0.011428631,0.003782699,0.002078984,-0.007745863,-0.006916244,-0.000851389,-0.000841418,0.009175723,-0.000926105,-0.001562754,-0.001054896,-0.006305598,-0.002336382,0.001293944,-0.004497449,0,0.003190919,-0.001251902,0.000316605,0.016356766,-0.000635928,-0.005708691,-0.012422497,-0.007391528,0.007310716,-0.011105114,0.004687191,-0.007083837,-0.018757878,-0.001450303,-0.009344191,-0.016799846,-0.001487,-0.019551286,-0.002479585,-0.009159784,-0.008463822,-0.019861267,-0.057608861,0.015046257,-0.002130556,-0.00338899,0.00366352,0.487286281,0.6133048,0.5159236,0.062639821,0.1197411
17/01/2007,0.001103503,0.000826287,-0.002248023,-0.006962262,0.003366483,-0.0016869,0.000279653,0.001520917,-0.002788103,0.010039223,-0.010665908,-0.001338474,-0.005450977,-0.024581099,0.004452555,-0.007135183,-0.001764527,0.021272825,-0.000851413,-0.014462774,-0.001869977,0.030717712,0.014537588,-0.010761703,-0.021383554,0.000775546,-0.001412756,-0.002145156,0.016869599,0.00724488,-0.000516716,-0.023609841,-0.00723113,0.003945573,-0.035269023,-0.007789312,-0.017752655,0.030292927,-0.000947216,0.009396746,0.001157929,-0.005162419,-0.009613411,-0.005069478,0.008141171,-0.005865091,-0.001066288,0.020519406,-0.00839599,-0.00826341,-0.00689656,0.005754527,-0.01704025,0.006701296,-0.010521391,-0.010805555,-0.012262585,-0.002047075,-0.014222201,-0.003782699,-0.005901752,0.005737642,-0.006053304,0.006509107,-0.010365,0.00359156,-0.012578733,0.000120241,-0.00176053,-0.002687117,-0.005865117,-0.00431965,-0.003838717,-0.025317776,-0.005323869,-0.001074315,-0.018853379,0.001034975,-0.009266673,-0.012160126,0.007782126,0.008263288,0.004982334,-0.013868235,-0.004687191,0,-0.00236961,-0.004363687,-0.003617323,-0.009602936,-0.011115983,-0.003469835,-0.004478785,-0.006987654,-0.00447244,-0.003899835,-0.046688952,-0.004434597,0.001646711,-0.001617911,0.011976891,0.467586749,0.6340943,0.522293,0.049217002,0.134304207
